"","Review_Date","Author_Name","Vehicle_Title","Review_Title","Review","Rating","model_year","model"
"11",2016-04-18,"Albert Wimmer","2014 BMW X1 SUV xDrive35i 4dr SUV AWD (3.0L 6cyl Turbo 6A)","perfect crossover","Drives very nimbly. Steering is easy on arthritic hands; in fact, that was one of the reasons we replaced a perfect 330xi. The only complaint I have is that the trunk release is near the hood release and not easily reachable. Still love the car.",5,2014," BMW X1 SUV xDrive35i 4dr SUV AWD (3.0L 6cyl Turbo 6A)"
"12",2016-03-05,"Gone247","2014 BMW X1 SUV sDrive28i 4dr SUV (2.0L 4cyl Turbo 8A)","Bought pre-owned, driven for 2yrs and 30,000 miles","This is a great lil X1 and at a great price point for a 2014 used BMW.  I downsized from my 2005 X5 which I loved and miss very much (had 160k miles and never a major repair or problem).  I've always been happy with BMW's.  I've owned 7, 5, 3 and X series throughout the last 20 or so years.  The reason I down sized is because I'm a commuter and was looking for something that can give me 30mpg on the hwy.  It was the BMW or Subaru.  I've also enjoyed Subaru's and nowadays these are my only two choices of go to vehicles for cars as a daily driver.  I'm a car enthusiast and have owned Ferrari, Mercedes, Lexus and plenty other luxury and sports cars.  I'm not posting to brag I'm posting so the reader knows I have choices and know about many cars from first hand driving experience.  This X1 is great in handling around town.  I got this due to it's looks, compact size for ease of downtown parking, cargo area for placing travel bags, groceries and 60/40 split that I can slide in my surfboard.  The only reason I didn't choose the Subaru is I really don't visit the snow that much.  But if you get the X1 in the xDrive it'll be a very close match.  I got the sDrive because it feels more like driving a sports car with that real wheel power and cutting in tight corners when I punch it around the twisties and I like that feeling.  Go for the Ultimate Package as it'll include many features like Navigation, Rear Camera and Parking Distance Control.What I miss is having that extra space or elbow room when I have passengers and sitting much higher up (comparing with my old X5).  What I love better is the newer electronics and fuel efficiency and having the Ultimate Package amenities. If you're looking into a used X1 then go with 2014 or 2015 model years.  2013 was the first year this model hit the US and the 2016 has been completely redesigned in and out.  The deals are on the 2014 for all the lease returns that hit and chances are you'll still get the 4 year/50k miles free maintenance plan that's remaining and Certified Pre-Owned near bumper to bumper warranty if you buy it from a BMW dealer.  All the BMW dealerships I checked out actually had better deals compared to other car lots.",4,2014," BMW X1 SUV sDrive28i 4dr SUV (2.0L 4cyl Turbo 8A)"
"13",2016-02-26,"Albert","2014 BMW X1 SUV sDrive28i 4dr SUV (2.0L 4cyl Turbo 8A)","A (very) entry BMW....","Base model X1, 2.8xDrive (very basic interior)+ sporty feel and drive+ great handling and feel on windy roads and highway- tight feel up front for 6ft male-very tight leg room for adult, tight leg room for 10 y/o  male behind 6ft driver- Unless low price is most important or harsh, but sporty drive is wanted, strongly consider 2016 model. Traded in for base model Acura RDX 2016, and after 6 months, very happy with the Acura. Albert[HTML removed]",5,2014," BMW X1 SUV sDrive28i 4dr SUV (2.0L 4cyl Turbo 8A)"
"14",2016-02-08,"JW","2014 BMW X1 SUV xDrive28i 4dr SUV AWD (2.0L 4cyl Turbo 8A)","Should NOT have the BMW badge","I have the 2014 xDrive28i model.  The seats are cheap and not comfortable for a long drive.  The acceleration is more like a Ford Escort than a BMW.  The sales guy said it is because it is a 4 cylinder.  No excuse.  The BMW engineers should be ashamed of what they created.  The navigation is ok, but feels more like my 2004 Infiniti G35 than a 2014.  The steering and suspension are stiff.  This is good for me.  It's very loud on the road.  You hear everything.  The tires wear down very quickly.  The dealer was telling me to replace them at around 13,000 miles.  Ridiculous.  Anyone, besides my kids, who gets into the car has a little trouble, no matter how I position the passenger seat. I've taken the car to the dealer a dozen times over the past 2 years for different problems (wiper blades not contacting windshield, bluetooth wouldn't connect, valve cover leaking oil onto intake manifold, and the list goes on).  Thankfully, I only have one year left on my lease.  It kills me to have to drive this car for that long, but it's the commitment/mistake I made.  I feel like I got taken by the BMW logo.  Won't happen again.",1,2014," BMW X1 SUV xDrive28i 4dr SUV AWD (2.0L 4cyl Turbo 8A)"
"15",2015-10-27,"Amanda","2014 BMW X1 SUV xDrive28i 4dr SUV AWD (2.0L 4cyl Turbo 8A)","Great compact SUV (hatchback)","I purchased a new Acura RDX and traded it after 6 months for an X1. I missed the BMW driving dynamics and this car delivers! The steering is meant to be heavy and an engaging drive. Those who want softer should look to Acura or Lexus. The X1 is not as luxurious as the 3 or 5 series but the price tag makes up for it. I have the Premium and Tech packages, it has everything I wanted in features. Love the handling and hatchback style. So happy to be back in a BMW!",5,2014," BMW X1 SUV xDrive28i 4dr SUV AWD (2.0L 4cyl Turbo 8A)"
"16",2015-07-22,"Rlg","2014 BMW X1 SUV sDrive28i 4dr SUV (2.0L 4cyl Turbo 8A)","Great little SUV","I have a 328i convertble as well as the X1. The X1 handles as good as my 328i. Fun to drive, easy entry front and back seats, and quick when needed.  Great car.",5,2014," BMW X1 SUV sDrive28i 4dr SUV (2.0L 4cyl Turbo 8A)"
"17",2015-05-15,"mrcitizenkane","2014 BMW X1 SUV sDrive28i 4dr SUV (2.0L 4cyl Turbo 8A)","'Disappointment' is the best compliment this car gets","I have owned five BMW's now including a 2001 3 series convertible, a 2003 3 series, a 2009 Z4 and now the X1.  I intentionally dropped down in size and class of car, so I went in expecting some compromises..but not what I have gotten.  Horribly cramped, the auto engine cut off is terrible, average gas mileage is 7-8 mpg worse than the lowest rating, interior is flimsy and several plastic pieces fall out of their place regularly and worst of all, my side airbags went of with no collision at all as I was taking a corner (BMW dealer has told me this isn't the first time they have dealt with this!)  Add to this the fact that the seats are horribly uncomfortable and I am beyond disappointed.",1.875,2014," BMW X1 SUV sDrive28i 4dr SUV (2.0L 4cyl Turbo 8A)"
"18",2014-12-22,"drevil3","2014 BMW X1 SUV xDrive28i 4dr SUV AWD (2.0L 4cyl Turbo 8A)","Continually Amazed by BMW","I have owned/driven the whole range of BMW - 3 series, 5, X6, 650, M3, etc.  This car has the same DNA.  I wanted something small and simple for work, baseball coaching, skiing, winter/summer.  I looked at Subaru Outback.  The outback was $13K less based on MSRP but the X1 leased for $150 less per ($330 per month with nothing down but an old Escape with 130K miles).  The little engine is just amazing even comparing to all the big BMW V8s.  I dont need more than 240 hp.  When BMW beats subaru on price+features, I'd call that value!",4.875,2014," BMW X1 SUV xDrive28i 4dr SUV AWD (2.0L 4cyl Turbo 8A)"
"19",2014-11-02,"arrowspace90","2014 BMW X1 SUV sDrive28i 4dr SUV (2.0L 4cyl Turbo 8A)","Just got one.","I can't say much about it, I got it for wife who said she wanted a hatchback with pep.  These criteria took me to the VW GTI, a very highly rated and affordable car.  We test drove one of those, and wife found it too low, and plain looking.  She somehow decided it was a ""kid car"".I was frustrated and so surfed to the X1.Wife loved it's classy look (the BMW emblem on it didn't hurt anything), it's higher stance, and was very happy driving it.  It's amazingly affordable.Her's has the moonroof and the nice rain-sensing wipers. Most other features are standard.We picked out one of 3 white ones on the lot, I would have liked the premium audio and upgraded rearview with compass",4.25,2014," BMW X1 SUV sDrive28i 4dr SUV (2.0L 4cyl Turbo 8A)"
"20",2014-07-24,"viadrive","2014 BMW X1 SUV xDrive28i 4dr SUV AWD (2.0L 4cyl Turbo 8A)","Big Disappointment","After 2 new Cadillacs and making the change to BMW in May, I have been very disappointed. First off when I drove the brakes had to be replaced with less than 1000 miles.The On/Off functionality is stupid.When you park the car it shuts off except for the accessories and you have to turn it on and then off again which causes wear and tear per the manual.And after 4 months apparently there was liquid spilled on the iDrive which caused it to be replaced for the cost of $650.Unbelievable design to put an electronic iDrive between 2 cup holders that can't withstand condensation from a cup.Cheap interior as well.Never Again!",2.25,2014," BMW X1 SUV xDrive28i 4dr SUV AWD (2.0L 4cyl Turbo 8A)"
"21",2014-06-21,"abmwfan","2014 BMW X1 SUV xDrive28i 4dr SUV AWD (2.0L 4cyl Turbo 8A)","A BMW from the good old days of BMW design","I bought this X1 because it's a dying breed of BMW from times before BMW went soft, heavy, and lost their steering mojo. It has the chassis and handling dynamics from the previous generation E90/E91 platform that's one of the best handling 3 series. It has hydraulic steering instead of BMW's new vague, imprecise electric steering. Those are combined with the most recent, excellent drive train. Add the comparatively low price and this BMW is unique. It will be replaced in the 2016 model year by a front-wheel drive platform shared with the Mini Cooper. Yuck.",4.75,2014," BMW X1 SUV xDrive28i 4dr SUV AWD (2.0L 4cyl Turbo 8A)"
"22",2014-03-27,"myushko","2014 BMW X1 SUV sDrive28i 4dr SUV (2.0L 4cyl Turbo 8A)","from 325i to X1","I traded in my old (and long out of warranty 2005 325i) for new X1 with premium package.Note: I got it cheaper than edmunds suggested price, so use it as trading starting pointSo far I have 400 miles only and will try to update it later. But for now I am very biased and I like this car. I like driving and this one just pure joy. However my old 325i could turn sharper (X1 center of gravity is higher). Also turbo does not respond as fast as my previous car's 6cil from dead stop. There is a short delay and then turbo delivers massive torque and then traction control has to work hard ;)On the hiway its pure joy, power is always there when you need it. At 400 mi I got 26+ mpg, no eco-pro",4.625,2014," BMW X1 SUV sDrive28i 4dr SUV (2.0L 4cyl Turbo 8A)"
"23",2014-03-12,"steve_in_tx","2014 BMW X1 SUV xDrive35i 4dr SUV AWD (3.0L 6cyl Turbo 6A)","Not For Everyone, But Great Car For Me","Drives like a sports sedan but relatively roomy in terms of headroom and (to a lesser degree) elbow room.I'm a bigger guy (6'1"" and about 240), and I bought this as a compromise between the 3 series, which I felt was a little more low-slung than I like, and the X3, which felt relatively boat-like.Bonus: not only do I prefer the X1 to those two vehicles, but it is about $10K cheaper when similarly equipped.",4.625,2014," BMW X1 SUV xDrive35i 4dr SUV AWD (3.0L 6cyl Turbo 6A)"
"24",2014-02-05,"ponch","2014 BMW X1 SUV xDrive28i 4dr SUV AWD (2.0L 4cyl Turbo 8A)","Much Better than Expected","I was a bit concerned about the 4 cylinder engine but boy does it still provide a lot of pep.Lots of grip. Feels like I am driving an expensive sports sedan. Has the same confident, lane-holding feel when you are zipping down the far left lane on the highway like you feel in an X5.Lots of room in the front, though not much for storage.There are only 2 safety belts in the rear though there is room for a 3rd person in the middle.Because of the 40/20/40 split, there is a lot of storage flexibility.The fuel economy is nice too.I bought mine as a service loaner w 4K miles and WHAT A VALUE at around $31K.I am as satisfied with this vehicle as with any vehicle previously owned.",4.75,2014," BMW X1 SUV xDrive28i 4dr SUV AWD (2.0L 4cyl Turbo 8A)"
"25",2013-10-14,"bmwcca325xi","2014 BMW X1 SUV xDrive35i 4dr SUV AWD (3.0L 6cyl Turbo 6A)","EDP X1","Ordered car and picked up in Munich as an EDP car in June.Major options:M Package, Winter Package.Nice firm ride and soaks up bumps well.Drove car 2,850 miles in Germany, Austria, and France.Top speed driven was 125 mph on the Autobahn -- car was feeling floaty so did not go faster although the engine could handle it.No issues in Europe over 2,850 miles.Averaged 25 to 28 mpg.Back in Calif., I have driven 2,200 miles and averaged from 25 to 27 mpg since being back.I attribute the same MPG while driving much slower to the lower fuel quality (ethanol)",4.25,2014," BMW X1 SUV xDrive35i 4dr SUV AWD (3.0L 6cyl Turbo 6A)"
"26",2018-03-21,"Rob","2016 BMW X1 SUV xDrive28i 4dr SUV AWD (2.0L 4cyl Turbo 8A)","Amazing Just wish the made it into an EV","Great ride and storage and space.. height .... everything. Want this to be made into an EV.",5,2016," BMW X1 SUV xDrive28i 4dr SUV AWD (2.0L 4cyl Turbo 8A)"
"27",2017-07-01,"Raph","2016 BMW X1 SUV xDrive28i 4dr SUV AWD (2.0L 4cyl Turbo 8A)","Mediocre ride","I have been driving this car for over a month. It’s a loaner from the dealership. While the handling is very good, comfort is pretty bad and the vehicle is really noisy. The engine is adequate for this size and the car looks great. Also my phone is often not recognized and I can’t control it from the entertainment system. GPS is good. The dar is full of little noises and road noise is incredibly loud.",2,2016," BMW X1 SUV xDrive28i 4dr SUV AWD (2.0L 4cyl Turbo 8A)"
"28",2017-01-23,"Scott","2016 BMW X1 SUV xDrive28i 4dr SUV AWD (2.0L 4cyl Turbo 8A)","X1 Beamer","The reason I only gave 4 stars and not 5 is purely due to the fact we've only had the car 3 weeks. I test drove and researched similiar models for over a month and it came down to the X1 and Q3 Audi. In the end, the dealership made us a fantastic offer, and were just more attentive to us as the customer. The X1 just felt better behind the wheel (side not - we own an Audi) and the little extra HP in the X1helps with these 4 -cyl engines.",4,2016," BMW X1 SUV xDrive28i 4dr SUV AWD (2.0L 4cyl Turbo 8A)"
"29",2016-12-26,"Juju","2016 BMW X1 SUV xDrive28i 4dr SUV AWD (2.0L 4cyl Turbo 8A)","Love the x1","Great visibility , handling , breaking , comfort , small and easy to drive ! Difficult criteria to find all in one vehicle , I found it in the X1.A year later , still LOVE my x1, not a fan of the run flat tires you need to change them all if something happens to one tire, thankfully they were able to do a repair on one tire for $80 . The fold down seats are a great and very useful feature!",5,2016," BMW X1 SUV xDrive28i 4dr SUV AWD (2.0L 4cyl Turbo 8A)"
"30",2016-11-08,"kayos","2016 BMW X1 SUV xDrive28i 4dr SUV AWD (2.0L 4cyl Turbo 8A)","Exactly what I was looking for","My commute used to be 4 miles, so I bought a cute little Mercedes coupe.  Then my commute changed and was taking 2 busy highways for 45 minutes.  I felt very insecure in my little car.  I really like driving a car, so although I wanted a higher vehicle, I didn't look forward to the parking issues of having a bigger vehicle.  Then I came across the X1.  It is actually 6"" shorter than my coupe was and not much wider.  However, it has the height I wanted, and great interior and cargo space!  Just blown away!  When I test drove it, I immediately felt comfortable with the location of all the controls.  I am only 5'4"" and everything is easily reached.  I've always really liked the controls to be in the gear shift area and using a dial.  Someone commented it isn't safe to look down.  You aren't supposed to look at it at all.  That is the point of it being down there, so you can adjust things by touch instead of by sight.  You just need to learn where the buttons are and how to use the dial effectively.  The visibility is great and since I don't have any depth perception, I LOVE the parking help.  Now I can go around tight spaces without worrying about hitting something.  There are 2 negatives only, the rear window is small and blocked by the rear center head rest.  I'll just fold down the center to improve viewing.  Also, the seat is very firm.  I'll have to bring a seat pad for long trips.  For a daily driver with lots of stop and go traffic, I am ecstatic.  It is great looking and fun to drive.  ***update after driving for a month.  The seat has softened from use, so now it is quite comfortable.",5,2016," BMW X1 SUV xDrive28i 4dr SUV AWD (2.0L 4cyl Turbo 8A)"
"31",2016-11-04,"doublej1013@gmail.com","2016 BMW X1 SUV xDrive28i 4dr SUV AWD (2.0L 4cyl Turbo 8A)","WOW!! What a car!!","I am a TDI victim and found this gem at the local dealer. Its the greatest car I've ever owned. Its the perfect size, not to big, but big enough. The creature comforts are unbelievable. The handling, acceleration and seats are all fantastic. The other car companies must pay people to write bad reviews. Please at least go and test drive one and you will be amazed. The lighting at night is really neat. Also, BMW rebuilds their cars on the inside, not some new plastic molding like other car companies. Get it! Enjoy it! I just wanted to let people know. I've never written a review before... yeah I like it that much.",5,2016," BMW X1 SUV xDrive28i 4dr SUV AWD (2.0L 4cyl Turbo 8A)"
"32",2016-10-31,"Bret Jensen","2016 BMW X1 SUV xDrive28i 4dr SUV AWD (2.0L 4cyl Turbo 8A)","Best small SUV currently available","Every car is a series of compromises.  In the areas that are priorities to me - safety, quality, performance - the X1 scores well.  Its chief limitations are modest cargo capacity and a somewhat cramped (for adults at least) rear seat.  However, given that the X1 has a footprint barely bigger than a Prius, it is roomy by the standards of small vehicles.  If you need substantial cargo capacity you should look at the X3 or X5.  If you need to seat adults in the rear seats on a regular basis look at the X3 or ensure that you get an X1 with the sliding/reclining rear seat option.  But for my family only small children sit in the back, and the standard X1 is just about ideal.  We have a second car which is a good deal larger than the X1.  Parking tends to be difficult where we live, and it is significantly easier to find a parking place for the X1 than it is to find a parking place for the larger vehicle.  Fuel economy is noteworthy, I did not believe the stated 32mpg on the highway was really achievable, but we took a road trip with the X1 and I can report that figure is absolutely attainable.  Overall great small SUV.",5,2016," BMW X1 SUV xDrive28i 4dr SUV AWD (2.0L 4cyl Turbo 8A)"
"33",2016-08-31,"Pat P.","2016 BMW X1 SUV xDrive28i 4dr SUV AWD (2.0L 4cyl Turbo 8A)","My first BMW - wont be my last!!","I have owned or leased MANY cars in my life..This is my first BMW and I just love it...What a great little SAV....",5,2016," BMW X1 SUV xDrive28i 4dr SUV AWD (2.0L 4cyl Turbo 8A)"
"34",2016-08-14,"Karen Carruol","2016 BMW X1 SUV xDrive28i 4dr SUV AWD (2.0L 4cyl Turbo 8A)","A real nice SUV","This car handles and rides effortlessly. Great interior finish and instrumentation.",5,2016," BMW X1 SUV xDrive28i 4dr SUV AWD (2.0L 4cyl Turbo 8A)"
"35",2016-08-12,"Peter Ghosh","2016 BMW X1 SUV xDrive28i 4dr SUV AWD (2.0L 4cyl Turbo 8A)","Significant improvement from the prev. generation!","I had a 2014 X1 (prev generation) that was my favorite car ever, but was coming off lease. I expected this new generation of X1 to be fair since it was being molded to look like the rest of the X-line family (truth be told, I wanted the Tesla Model 3 but couldn't wait that long). I was wrong. Dead wrong. This is actually more fun than the last one. Slightly less horsepower, yet the 0-60 is quicker. The move to a front-wheel-emphasized 4WD is not noticeable. I sometimes miss the hydraulic steering (however, the 2016's adaptive steering makes parking and city driving much easier). I got every tech package except the ACC (c'mon, an extra thousand, really?) and it seems worth it. By adding a few extra PSI to the tires (compared to the door sticker), I am getting 35+ MPG on the highway! Eco-mode is much more useful now without sacrifice (I especially didn't like the jolt on the 2014 when I needed to pass someone on the highway due to the shift timing change in this mode). The interior materials are a step up (interior lighting at night is especially top notch). The rear view is crowded compared to previous gen (due to smaller rear window and seat back obstructions), but not dangerous. The front seats are narrower than the last model and could use a little more cushioning as well - make sure you like them first vs. ordering the sports seats/package. I am 5'8 at 175 pounds so the base seats work for me. Overall, It's more luxurious, quieter and more fun than the previous generation (which was already great). I will have a hard time giving this up in 3 years.",5,2016," BMW X1 SUV xDrive28i 4dr SUV AWD (2.0L 4cyl Turbo 8A)"
"36",2016-08-11,"DOROTHY THOMPSON","2016 BMW X1 SUV xDrive28i 4dr SUV AWD (2.0L 4cyl Turbo 8A)","Awesome little SUV",NA,5,2016," BMW X1 SUV xDrive28i 4dr SUV AWD (2.0L 4cyl Turbo 8A)"
"37",2016-08-07,"MH","2016 BMW X1 SUV xDrive28i 4dr SUV AWD (2.0L 4cyl Turbo 8A)","New and improved for 2016","The 2016 is roomier and drives much smoother than my previous 2013. The seats are more comfortable as well. Love the updates!",5,2016," BMW X1 SUV xDrive28i 4dr SUV AWD (2.0L 4cyl Turbo 8A)"
"38",2016-07-28,"Heather D","2016 BMW X1 SUV xDrive28i 4dr SUV AWD (2.0L 4cyl Turbo 8A)","Love my X1",NA,5,2016," BMW X1 SUV xDrive28i 4dr SUV AWD (2.0L 4cyl Turbo 8A)"
"39",2016-07-28,"Beemer31","2016 BMW X1 SUV xDrive28i 4dr SUV AWD (2.0L 4cyl Turbo 8A)","Long time BMW owner","I've had a 328, 528, and now a X1.  I have the MSport pack (Estoril Blue), Tech, Cold Weather, and Driver Asst packages.   The SAV (as Munich likes to call it) is/has everything I need in a car.  Most importantly, I don't have to fold down the seats to put two golf bags in the back.  My favorite attributes about BMW is the familiarity with the iDrive system and it's the only manufacturer in this segment where the passenger can enter an address into the Nav while the car is in drive.  I test drove Lexus/Audi and both required the car to be in park in order to enter an address into the nav (unless I wanted to use the voice recognition - which is always terrible)!  Anyway, this car is typical BMW - high end interior parts and all of the controls are where they should be.  Now I do have ONE gripe - the temperature controls only move in two degree increments and in even numbers only.  I contacted BMW about this and it's because the car is based off the MINI Countryman.  Let's not forget, this is an entry level BMW, so it's not the biggest deal for me.  Overall, I'm glad I got this SAV.",4,2016," BMW X1 SUV xDrive28i 4dr SUV AWD (2.0L 4cyl Turbo 8A)"
"40",2016-07-26,"w62vette","2016 BMW X1 SUV xDrive28i 4dr SUV AWD (2.0L 4cyl Turbo 8A)","Great 2016 BMW X1",NA,5,2016," BMW X1 SUV xDrive28i 4dr SUV AWD (2.0L 4cyl Turbo 8A)"
"41",2016-07-13,"Roberto D.","2016 BMW X1 SUV xDrive28i 4dr SUV AWD (2.0L 4cyl Turbo 8A)","The Good, the Bad and the Ugly","Let me preface by saying my last three cars were Hondas. I wanted an upgrade with more pep and more luxury. So here goes - The Good: Acceleration - Amazing, Interior Space - Amazing (overall same length as my Honda Civic but the interior feels MASSIVE), the Technology package with bluetooth, handsfree phone etc. - Great, the Steering - Fantastic. OK The Bad - After two weeks the tow-hook cover in the front fell off, never to be seen again. Rear Visibility: Not great. Parking Assist - I live in LA and you really have to hurry your parking cause there's always someone behind you. The parking assist is either slow in figuring out there's a spot or it never figures it out. Pointless. Fuel Consumption - Not Great At All, I have it on Eco Mode most of the time and my average after 4000 miles with about 1000 highway no traffic driving is 22.3 mpg. The Ugly: The seats are TERRIBLE. The Ride is also TERRIBLE probably due to the runflat tires and maybe the suspension. I started researching how to replace the seats and the tires. Yes, it's that bad.",4,2016," BMW X1 SUV xDrive28i 4dr SUV AWD (2.0L 4cyl Turbo 8A)"
"42",2016-06-21,"wayne cromer","2016 BMW X1 SUV xDrive28i 4dr SUV AWD (2.0L 4cyl Turbo 8A)","Satisfied with my car. Had the car only a couple o",NA,5,2016," BMW X1 SUV xDrive28i 4dr SUV AWD (2.0L 4cyl Turbo 8A)"
"43",2016-05-24,"Water bouy","2016 BMW X1 SUV xDrive28i 4dr SUV AWD (2.0L 4cyl Turbo 8A)","The worst seats imaginable","The good: it's faster than other similarly sized small suv's and has good bmw looksThe bad: these are the worst seats. my test drive seemed ok but once you sit in them for a while you know. it's like sitting on a flat park bench.  sport seats are only available in the m package, which dealers here don't order",3,2016," BMW X1 SUV xDrive28i 4dr SUV AWD (2.0L 4cyl Turbo 8A)"
"44",2016-05-01,"Mark O'Malley","2016 BMW X1 SUV xDrive28i 4dr SUV AWD (2.0L 4cyl Turbo 8A)","x! REVIEW","BUY PRICE SHOULD BE FOR INVOICE",5,2016," BMW X1 SUV xDrive28i 4dr SUV AWD (2.0L 4cyl Turbo 8A)"
